trial_index,target_freq_hz,channel,frequency_hz,exact_amp_uv,exact_snr_db,is_posterior
1,14.0,Fpz,9.0,0.09481895380072744,-4.244660694416017,False
1,14.0,Fp2,9.0,0.11564922523046618,-1.0522103166631942,False
1,14.0,F3,9.0,0.18148742062156042,-2.0556843871716963,False
1,14.0,Fz,9.0,0.19384974408057054,-1.377214593069278,False
1,14.0,F4,9.0,0.14718924190278557,-2.21457775245483,False
1,14.0,F8,9.0,0.047751829437116755,-11.315171394299279,False
1,14.0,FC1,9.0,0.1502745617103277,-0.04947669375621551,False
1,14.0,FC2,9.0,0.16802822301290954,-1.7896166084308174,False
1,14.0,FC6,9.0,0.10592848095020078,-4.563419286434093,False
1,14.0,T7,9.0,0.23090513818580988,1.643187421135458,False
1,14.0,C3,9.0,0.11183284927690176,0.5862376036545102,False
1,14.0,Cz,9.0,0.26799643676841073,5.086308378531765,False
1,14.0,C4,9.0,0.047565898610850615,-13.483734180671892,False
1,14.0,T8,9.0,0.26130066215745684,5.075526619838774,False
1,14.0,CP5,9.0,0.03906004034657644,-13.569702126059,False
1,14.0,CP1,9.0,0.0019324369109935307,-37.656818672708326,False
1,14.0,CP6,9.0,0.2661646466014148,5.760027910612181,False
1,14.0,P7,9.0,0.03999353600220098,-13.203664406992942,True
1,14.0,P3,9.0,0.07506163184629515,-5.019767289473275,True
1,14.0,Pz,9.0,0.08683767204847696,-5.4001260850429835,True
1,14.0,P4,9.0,0.11395070192110304,-1.9043504765435961,True
1,14.0,P8,9.0,0.2874452650992989,11.597889434753943,True
1,14.0,POz,9.0,0.08217074639638754,-4.37017446971289,True
1,14.0,O1,9.0,0.10522679846668682,-4.658659872038421,True
1,14.0,Oz,9.0,0.2306599028614994,1.254557550813777,True
1,14.0,O2,9.0,0.4326473785074517,9.01899668105151,True
1,14.0,AF7,9.0,0.19056261889139228,0.4969938122743117,False
1,14.0,AF3,9.0,0.06277639609733762,-6.554146988004214,False
1,14.0,AF4,9.0,0.08643530818004756,-3.464953260273477,False
1,14.0,AF8,9.0,0.039953450583565066,-13.006040040821244,False
1,14.0,F1,9.0,0.15324770965659534,-2.797438169688657,False
1,14.0,F2,9.0,0.01565617469716189,-17.653940248845565,False
1,14.0,F6,9.0,0.04363522727209645,-12.454624470324585,False
1,14.0,FC3,9.0,0.10856393601622684,-2.2905520108531032,False
1,14.0,FCz,9.0,0.15659296606070655,-1.0231324543595777,False
1,14.0,FC4,9.0,0.030863786318607887,-14.793798479062838,False
1,14.0,C5,9.0,0.10270730757826012,-2.6713764500304022,False
1,14.0,C1,9.0,0.13451577749590643,-0.011523589724283113,False
1,14.0,C2,9.0,0.1898159907930598,4.811295510004637,False
1,14.0,C6,9.0,0.21132970461785444,1.377896358236289,False
1,14.0,CP3,9.0,0.11113516062948316,0.5528800381903423,False
1,14.0,CPz,9.0,0.17817082779468563,1.2770728743355413,False
1,14.0,CP4,9.0,0.1921126705832662,2.0335728782690414,False
1,14.0,P5,9.0,0.144742158985001,-0.11941163208292316,True
1,14.0,P1,9.0,0.20611479720236262,1.8470816740564948,False
1,14.0,P2,9.0,0.18573167957515072,-2.79985914108581,False
1,14.0,PO5,9.0,0.13366101555896773,0.7669575589576256,False
